Count	a1 [inc]	a2 [inc]
1	0.0	0.0
2	0.0	0.0
3	0.0	0.0
4	0.0	0.0
5	0.0	0.0
6	0.0	0.0
7	0.0	0.0
8	0.0	0.0
9	0.0	0.0
10	0.0	0.0
11	0.0	0.0
12	0.0	0.0
13	0.0	0.0
14	0.0	0.0
15	0.0	0.0
16	0.0	0.0
17	0.0	0.0
18	0.0	0.0
19	0.0	0.0
20	0.0	0.0
21	0.0	0.0
22	0.0	0.0
23	0.0	0.0
24	0.0	0.0
25	0.0	0.0
26	0.0	0.0
27	0.0	0.0
28	0.0	0.0
29	0.0	0.0
30	0.0	0.0
31	0.0	0.0
32	0.0	0.0
33	0.0	0.0
34	0.0	0.0
35	31.0	2.0
36	0.0	0.0
37	86.0	5.0
38	31.0	2.0
39	31.0	2.0
40	31.0	2.0
41	0.0	0.0
42	0.0	0.0
43	0.0	0.0
44	0.0	0.0
45	0.0	0.0
46	0.0	0.0
47	31.0	2.0
48	31.0	2.0
49	31.0	2.0
50	31.0	2.0
51	31.0	2.0
52	31.0	2.0
53	31.0	2.0
54	31.0	2.0
55	31.0	2.0
56	31.0	2.0
57	6.0	0.0
58	0.0	0.0
59	0.0	0.0
60	0.0	0.0
61	0.0	0.0
62	0.0	0.0
63	31.0	2.0
64	31.0	2.0
65	31.0	2.0
66	31.0	2.0
67	31.0	2.0
68	31.0	2.0
69	31.0	2.0
70	31.0	2.0
71	31.0	2.0
72	31.0	2.0
73	31.0	2.0
74	31.0	2.0
75	31.0	2.0
76	31.0	2.0
77	31.0	2.0
78	31.0	2.0
79	31.0	2.0
80	31.0	2.0
81	31.0	2.0
82	31.0	2.0
83	31.0	2.0
84	31.0	2.0
85	31.0	2.0
86	31.0	2.0
87	31.0	2.0
88	31.0	2.0
89	31.0	2.0
90	31.0	2.0
91	31.0	2.0
92	31.0	2.0
93	31.0	2.0
94	31.0	2.0
95	31.0	2.0
96	31.0	2.0
97	31.0	2.0
98	31.0	2.0
99	31.0	2.0
100	31.0	2.0
101	31.0	2.0
102	31.0	2.0
103	31.0	2.0
104	31.0	2.0
105	31.0	2.0
106	83.0	5.0
107	92.0	6.0
108	92.0	6.0
109	92.0	6.0
110	92.0	6.0
111	92.0	6.0
112	92.0	6.0
113	92.0	6.0
114	92.0	6.0
115	92.0	6.0
116	92.0	6.0
117	92.0	6.0
118	92.0	6.0
119	92.0	6.0
120	92.0	6.0
121	92.0	6.0
122	92.0	6.0
123	92.0	6.0
124	92.0	6.0
125	92.0	6.0
126	92.0	6.0
127	92.0	6.0
128	92.0	6.0
129	92.0	6.0
130	92.0	6.0
131	92.0	6.0
132	92.0	6.0
133	92.0	6.0
134	92.0	6.0
135	92.0	6.0
136	92.0	6.0
137	92.0	6.0
138	92.0	6.0
139	92.0	6.0
140	92.0	6.0
141	92.0	6.0
142	92.0	6.0
143	92.0	6.0
144	92.0	6.0
145	92.0	6.0
146	92.0	6.0
147	92.0	6.0
148	92.0	6.0
149	92.0	6.0
150	92.0	6.0
151	92.0	6.0
152	107.0	7.0
153	115.0	8.0
154	119.0	8.0
155	132.0	10.0
156	132.0	10.0
157	132.0	10.0
158	132.0	10.0
159	132.0	10.0
160	132.0	10.0
161	132.0	10.0
162	132.0	10.0
163	140.0	10.0
164	165.0	13.0
165	201.0	17.0
166	203.0	19.0
167	206.0	19.0
168	206.0	20.0
169	206.0	20.0
170	206.0	20.0
171	206.0	20.0
172	206.0	20.0
173	206.0	20.0
174	206.0	20.0
175	206.0	20.0
176	206.0	20.0
177	206.0	20.0
178	206.0	20.0
179	206.0	20.0
180	206.0	20.0
181	206.0	20.0
182	206.0	20.0
183	206.0	20.0
184	206.0	20.0
185	206.0	20.0
186	206.0	20.0
187	206.0	20.0
188	206.0	20.0
189	206.0	20.0
190	206.0	20.0
191	206.0	20.0
192	206.0	20.0
193	206.0	20.0
194	206.0	20.0
195	206.0	20.0
196	206.0	20.0
197	206.0	20.0
198	206.0	20.0
199	206.0	20.0
200	206.0	20.0
201	92.0	8.0
202	92.0	7.0
203	92.0	6.0
204	92.0	6.0
205	92.0	6.0
206	92.0	6.0
207	92.0	6.0
208	92.0	15.0
209	95.0	190.0
210	95.0	189.0
211	94.0	189.0
212	95.0	189.0
213	95.0	189.0
214	94.0	189.0
215	95.0	189.0
216	94.0	189.0
217	95.0	189.0
218	94.0	189.0
219	94.0	189.0
220	95.0	189.0
221	95.0	189.0
222	94.0	189.0
223	95.0	190.0
224	95.0	189.0
225	95.0	189.0
226	95.0	189.0
